illegal_moves,illegal_rate,stock_lvl,winner,game_length,step,train_loss,val_loss
12,0.48,5,stock,25,15,10.326509475708008,10.338464736938477
15,0.4838709677419355,10,stock,31,15,10.326509475708008,10.338464736938477
6,0.4615384615384615,15,stock,13,15,10.326509475708008,10.338464736938477
9,0.4736842105263157,20,stock,19,15,10.326509475708008,10.338464736938477
24,0.4897959183673469,5,stock,49,15,10.326509475708008,10.338464736938477
12,0.48,10,stock,25,15,10.326509475708008,10.338464736938477
17,0.4857142857142857,15,stock,35,15,10.326509475708008,10.338464736938477
10,0.4761904761904761,20,stock,21,15,10.326509475708008,10.338464736938477
9,0.4736842105263157,5,stock,19,15,10.326509475708008,10.338464736938477
16,0.4848484848484848,10,stock,33,15,10.326509475708008,10.338464736938477
19,0.4871794871794871,15,stock,39,15,10.326509475708008,10.338464736938477
15,0.4838709677419355,20,stock,31,15,10.326509475708008,10.338464736938477
29,0.4915254237288136,5,stock,59,30,10.116435050964355,10.12264919281006
26,0.490566037735849,10,stock,53,30,10.116435050964355,10.12264919281006
9,0.4736842105263157,15,stock,19,30,10.116435050964355,10.12264919281006
7,0.4666666666666667,20,stock,15,30,10.116435050964355,10.12264919281006
31,0.492063492063492,5,stock,63,30,10.116435050964355,10.12264919281006
20,0.4878048780487805,10,stock,41,30,10.116435050964355,10.12264919281006
11,0.4782608695652174,15,stock,23,30,10.116435050964355,10.12264919281006
19,0.4871794871794871,20,stock,39,30,10.116435050964355,10.12264919281006
23,0.4893617021276595,5,stock,47,30,10.116435050964355,10.12264919281006
13,0.4814814814814814,10,stock,27,30,10.116435050964355,10.12264919281006
13,0.4814814814814814,15,stock,27,30,10.116435050964355,10.12264919281006
2,0.4,20,stock,5,30,10.116435050964355,10.12264919281006
19,0.4871794871794871,5,stock,39,30,10.100700378417969,10.10543727874756
16,0.4848484848484848,10,stock,33,30,10.100700378417969,10.10543727874756
15,0.4838709677419355,15,stock,31,30,10.100700378417969,10.10543727874756
15,0.4838709677419355,20,stock,31,30,10.100700378417969,10.10543727874756
15,0.4838709677419355,5,stock,31,30,10.100700378417969,10.10543727874756
13,0.4814814814814814,10,stock,27,30,10.100700378417969,10.10543727874756
20,0.4878048780487805,15,stock,41,30,10.100700378417969,10.10543727874756
17,0.4857142857142857,20,stock,35,30,10.100700378417969,10.10543727874756
21,0.4883720930232558,5,stock,43,30,10.100700378417969,10.10543727874756
19,0.4871794871794871,10,stock,39,30,10.100700378417969,10.10543727874756
17,0.4857142857142857,15,stock,35,30,10.100700378417969,10.10543727874756
16,0.4848484848484848,20,stock,33,30,10.100700378417969,10.10543727874756
16,0.4848484848484848,5,stock,33,15,10.350577354431152,10.339654922485352
22,0.4888888888888889,10,stock,45,15,10.350577354431152,10.339654922485352
9,0.4736842105263157,15,stock,19,15,10.350577354431152,10.339654922485352
8,0.4705882352941176,20,stock,17,15,10.350577354431152,10.339654922485352
10,0.4761904761904761,5,stock,21,15,10.350577354431152,10.339654922485352
4,0.4444444444444444,10,stock,9,15,10.350577354431152,10.339654922485352
9,0.4736842105263157,15,stock,19,15,10.350577354431152,10.339654922485352
23,0.4893617021276595,20,stock,47,15,10.350577354431152,10.339654922485352
29,0.4915254237288136,5,stock,59,15,10.350577354431152,10.339654922485352
21,0.4883720930232558,10,stock,43,15,10.350577354431152,10.339654922485352
23,0.4893617021276595,15,stock,47,15,10.350577354431152,10.339654922485352
10,0.4761904761904761,20,stock,21,15,10.350577354431152,10.339654922485352
11,0.4782608695652174,5,stock,23,15,10.350577354431152,10.339654922485352
25,0.4901960784313725,10,stock,51,15,10.350577354431152,10.339654922485352
6,0.4615384615384615,15,stock,13,15,10.350577354431152,10.339654922485352
12,0.48,20,stock,25,15,10.350577354431152,10.339654922485352
15,0.4838709677419355,5,stock,31,15,10.350577354431152,10.339654922485352
20,0.4878048780487805,10,stock,41,15,10.350577354431152,10.339654922485352
24,0.4897959183673469,15,stock,49,15,10.350577354431152,10.339654922485352
17,0.4857142857142857,20,stock,35,15,10.350577354431152,10.339654922485352
29,0.4915254237288136,5,stock,59,15,10.350577354431152,10.339654922485352
8,0.4705882352941176,10,stock,17,15,10.350577354431152,10.339654922485352
8,0.4705882352941176,15,stock,17,15,10.350577354431152,10.339654922485352
2,0.4,20,stock,5,15,10.350577354431152,10.339654922485352
26,0.49056603773584906,5,stock,53,30,10.129935264587402,10.14322280883789
34,0.4927536231884058,10,stock,69,30,10.129935264587402,10.14322280883789
14,0.4827586206896552,15,stock,29,30,10.129935264587402,10.14322280883789
15,0.4838709677419355,20,stock,31,30,10.129935264587402,10.14322280883789
17,0.4857142857142857,5,stock,35,30,10.129935264587402,10.14322280883789
15,0.4838709677419355,10,stock,31,30,10.129935264587402,10.14322280883789
11,0.4782608695652174,15,stock,23,30,10.129935264587402,10.14322280883789
12,0.48,20,stock,25,30,10.129935264587402,10.14322280883789
16,0.48484848484848486,5,stock,33,30,10.129935264587402,10.14322280883789
11,0.4782608695652174,10,stock,23,30,10.129935264587402,10.14322280883789
9,0.47368421052631576,15,stock,19,30,10.129935264587402,10.14322280883789
11,0.4782608695652174,20,stock,23,30,10.129935264587402,10.14322280883789
